scan_id,ticket_id,order_id,event_id,gate,scanned_at
SCN-1-00001,ORD-00189-T2,ORD-00189,EV-01,MAIN-2,2025-07-01 19:00:00
SCN-1-00002,ORD-00597-T1,ORD-00597,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00003,ORD-00795-T3,ORD-00795,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00004,ORD-00795-T5,ORD-00795,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00005,ORD-00939-T1,ORD-00939,EV-01,MAIN-2,2025-07-01 19:00:00
SCN-1-00006,ORD-01013-T1,ORD-01013,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00007,ORD-01028-T2,ORD-01028,EV-01,MAIN-2,2025-07-01 19:00:00
SCN-1-00008,ORD-01209-T3,ORD-01209,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00009,ORD-01406-T1,ORD-01406,EV-01,SIDE-A,2025-07-01 19:00:00
SCN-1-00010,ORD-01406-T2,ORD-01406,EV-01,MAIN-2,2025-07-01 19:00:00
SCN-1-00011,ORD-01596-T3,ORD-01596,EV-01,SIDE-A,2025-07-01 19:00:00
SCN-1-00012,ORD-01725-T3,ORD-01725,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00013,ORD-02046-T2,ORD-02046,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00014,ORD-02048-T1,ORD-02048,EV-01,MAIN-2,2025-07-01 19:00:00
SCN-1-00015,ORD-02155-T2,ORD-02155,EV-01,MAIN-2,2025-07-01 19:00:00
SCN-1-00016,ORD-02182-T1,ORD-02182,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00017,ORD-02218-T1,ORD-02218,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00018,ORD-02264-T3,ORD-02264,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00019,ORD-02410-T5,ORD-02410,EV-01,MAIN-1,2025-07-01 19:00:00
SCN-1-00020,ORD-02476-T1,ORD-02476,EV-01,SIDE-A,2025-07-01 19:00:00
