scan_id,ticket_id,order_id,event_id,gate,scanned_at
SCN-6-00001,ORD-00376-T1,ORD-00376,EV-06,SIDE-A,2025-07-06 19:00:00
SCN-6-00002,ORD-00564-T1,ORD-00564,EV-06,MAIN-1,2025-07-06 19:00:00
SCN-6-00003,ORD-00586-T1,ORD-00586,EV-06,MAIN-2,2025-07-06 19:00:00
SCN-6-00004,ORD-01046-T2,ORD-01046,EV-06,SIDE-A,2025-07-06 19:00:00
SCN-6-00005,ORD-01101-T4,ORD-01101,EV-06,MAIN-1,2025-07-06 19:00:00
SCN-6-00006,ORD-01179-T2,ORD-01179,EV-06,MAIN-1,2025-07-06 19:00:00
SCN-6-00007,ORD-01273-T1,ORD-01273,EV-06,MAIN-1,2025-07-06 19:00:00
SCN-6-00008,ORD-02031-T1,ORD-02031,EV-06,MAIN-1,2025-07-06 19:00:00
SCN-6-00009,ORD-02677-T1,ORD-02677,EV-06,MAIN-2,2025-07-06 19:00:00
SCN-6-00010,ORD-02887-T1,ORD-02887,EV-06,MAIN-2,2025-07-06 19:00:00
SCN-6-00011,ORD-03335-T3,ORD-03335,EV-06,SIDE-A,2025-07-06 19:00:00
SCN-6-00012,ORD-03390-T2,ORD-03390,EV-06,MAIN-2,2025-07-06 19:00:00
SCN-6-00013,ORD-03415-T1,ORD-03415,EV-06,MAIN-2,2025-07-06 19:00:00
SCN-6-00014,ORD-03448-T2,ORD-03448,EV-06,MAIN-1,2025-07-06 19:00:00
SCN-6-00015,ORD-00437-T3,ORD-00437,EV-06,SIDE-A,2025-07-06 19:00:12
SCN-6-00016,ORD-00252-T2,ORD-00252,EV-06,MAIN-1,2025-07-06 19:00:33
SCN-6-00017,ORD-01923-T2,ORD-01923,EV-06,MAIN-1,2025-07-06 19:00:40
SCN-6-00018,ORD-03311-T4,ORD-03311,EV-06,SIDE-A,2025-07-06 19:00:45
SCN-6-00019,ORD-00439-T1,ORD-00439,EV-06,MAIN-1,2025-07-06 19:01:09
SCN-6-00020,ORD-01427-T2,ORD-01427,EV-06,MAIN-1,2025-07-06 19:01:45
SCN-6-00021,ORD-00364-T5,ORD-00364,EV-06,SIDE-A,2025-07-06 19:01:53
SCN-6-00022,ORD-01582-T1,ORD-01582,EV-06,SIDE-A,2025-07-06 19:02:25
SCN-6-00023,ORD-00616-T2,ORD-00616,EV-06,MAIN-1,2025-07-06 19:02:30
