scan_id,ticket_id,order_id,event_id,gate,scanned_at
SCN-7-00001,ORD-00723-T1,ORD-00723,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00002,ORD-00734-T1,ORD-00734,EV-07,MAIN-1,2025-07-07 19:00:00
SCN-7-00003,ORD-01601-T1,ORD-01601,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00004,ORD-02010-T1,ORD-02010,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00005,ORD-02583-T1,ORD-02583,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00006,ORD-02587-T1,ORD-02587,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00007,ORD-02630-T1,ORD-02630,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00008,ORD-03121-T4,ORD-03121,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00009,ORD-03235-T5,ORD-03235,EV-07,MAIN-1,2025-07-07 19:00:00
SCN-7-00010,ORD-03528-T2,ORD-03528,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00011,ORD-03539-T1,ORD-03539,EV-07,SIDE-A,2025-07-07 19:00:00
SCN-7-00012,ORD-03545-T1,ORD-03545,EV-07,MAIN-2,2025-07-07 19:00:00
SCN-7-00013,ORD-00532-T6,ORD-00532,EV-07,MAIN-2,2025-07-07 19:00:23
SCN-7-00014,ORD-00758-T1,ORD-00758,EV-07,MAIN-1,2025-07-07 19:01:13
SCN-7-00015,ORD-00777-T2,ORD-00777,EV-07,MAIN-1,2025-07-07 19:01:34
SCN-7-00016,ORD-03183-T3,ORD-03183,EV-07,MAIN-1,2025-07-07 19:01:44
SCN-7-00017,ORD-03533-T2,ORD-03533,EV-07,MAIN-1,2025-07-07 19:01:48
SCN-7-00018,ORD-03319-T2,ORD-03319,EV-07,MAIN-2,2025-07-07 19:01:56
SCN-7-00019,ORD-00620-T2,ORD-00620,EV-07,MAIN-2,2025-07-07 19:02:16
SCN-7-00020,ORD-02583-T1,ORD-02583,EV-07,MAIN-1,2025-07-07 19:02:33
SCN-7-00021,ORD-01927-T3,ORD-01927,EV-07,MAIN-2,2025-07-07 19:03:18
SCN-7-00022,ORD-03326-T3,ORD-03326,EV-07,MAIN-1,2025-07-07 19:03:18
SCN-7-00023,ORD-00246-T1,ORD-00246,EV-07,MAIN-1,2025-07-07 19:04:06
SCN-7-00024,ORD-03189-T1,ORD-03189,EV-07,MAIN-1,2025-07-07 19:04:09
SCN-7-00025,ORD-00173-T1,ORD-00173,EV-07,MAIN-2,2025-07-07 19:04:12
SCN-7-00026,ORD-01720-T1,ORD-01720,EV-07,MAIN-1,2025-07-07 19:04:33
SCN-7-00027,ORD-00679-T1,ORD-00679,EV-07,SIDE-A,2025-07-07 19:04:37
SCN-7-00028,ORD-03451-T1,ORD-03451,EV-07,MAIN-1,2025-07-07 19:04:54
SCN-7-00029,ORD-02497-T3,ORD-02497,EV-07,MAIN-2,2025-07-07 19:05:02
SCN-7-00030,ORD-03347-T2,ORD-03347,EV-07,MAIN-1,2025-07-07 19:05:05
SCN-7-00031,ORD-01841-T1,ORD-01841,EV-07,MAIN-2,2025-07-07 19:05:38
SCN-7-00032,ORD-00942-T1,ORD-00942,EV-07,SIDE-A,2025-07-07 19:05:41
SCN-7-00033,ORD-00407-T1,ORD-00407,EV-07,MAIN-1,2025-07-07 19:05:44
SCN-7-00034,ORD-00541-T1,ORD-00541,EV-07,MAIN-2,2025-07-07 19:05:56
SCN-7-00035,ORD-03496-T4,ORD-03496,EV-07,MAIN-2,2025-07-07 19:05:56
SCN-7-00036,ORD-03345-T1,ORD-03345,EV-07,MAIN-1,2025-07-07 19:06:00
SCN-7-00037,ORD-01005-T2,ORD-01005,EV-07,SIDE-A,2025-07-07 19:06:01
SCN-7-00038,ORD-03555-T1,ORD-03555,EV-07,MAIN-2,2025-07-07 19:06:12
SCN-7-00039,ORD-02462-T2,ORD-02462,EV-07,MAIN-2,2025-07-07 19:06:25
SCN-7-00040,ORD-03551-T2,ORD-03551,EV-07,MAIN-1,2025-07-07 19:06:53
SCN-7-00041,ORD-00777-T1,ORD-00777,EV-07,MAIN-2,2025-07-07 19:07:07
SCN-7-00042,ORD-03498-T1,ORD-03498,EV-07,MAIN-1,2025-07-07 19:07:10
SCN-7-00043,ORD-03259-T1,ORD-03259,EV-07,MAIN-2,2025-07-07 19:07:54
SCN-7-00044,ORD-03476-T2,ORD-03476,EV-07,SIDE-A,2025-07-07 19:08:13
SCN-7-00045,ORD-00532-T1,ORD-00532,EV-07,SIDE-A,2025-07-07 19:08:15
SCN-7-00046,ORD-03137-T1,ORD-03137,EV-07,MAIN-1,2025-07-07 19:08:17
SCN-7-00047,ORD-01813-T1,ORD-01813,EV-07,MAIN-1,2025-07-07 19:08:42
SCN-7-00048,ORD-03396-T1,ORD-03396,EV-07,MAIN-1,2025-07-07 19:08:54
SCN-7-00049,ORD-01123-T1,ORD-01123,EV-07,MAIN-1,2025-07-07 19:08:56
SCN-7-00050,ORD-00933-T1,ORD-00933,EV-07,MAIN-2,2025-07-07 19:09:06
SCN-7-00051,ORD-03397-T1,ORD-03397,EV-07,MAIN-1,2025-07-07 19:09:11
SCN-7-00052,ORD-01073-T1,ORD-01073,EV-07,SIDE-A,2025-07-07 19:09:15
SCN-7-00053,ORD-03344-T3,ORD-03344,EV-07,MAIN-1,2025-07-07 19:09:16
SCN-7-00054,ORD-03438-T1,ORD-03438,EV-07,MAIN-1,2025-07-07 19:09:18
SCN-7-00055,ORD-03352-T2,ORD-03352,EV-07,MAIN-1,2025-07-07 19:09:43
SCN-7-00056,ORD-01608-T1,ORD-01608,EV-07,MAIN-1,2025-07-07 19:09:51
SCN-7-00057,ORD-02894-T2,ORD-02894,EV-07,MAIN-1,2025-07-07 19:09:56
SCN-7-00058,ORD-02741-T2,ORD-02741,EV-07,MAIN-2,2025-07-07 19:09:59
SCN-7-00059,ORD-03227-T1,ORD-03227,EV-07,MAIN-1,2025-07-07 19:10:25
SCN-7-00060,ORD-01203-T3,ORD-01203,EV-07,MAIN-2,2025-07-07 19:10:33
SCN-7-00061,ORD-03510-T1,ORD-03510,EV-07,SIDE-A,2025-07-07 19:10:34
SCN-7-00062,ORD-00843-T1,ORD-00843,EV-07,MAIN-2,2025-07-07 19:10:49
SCN-7-00063,ORD-03352-T1,ORD-03352,EV-07,SIDE-A,2025-07-07 19:10:50
SCN-7-00064,ORD-01623-T1,ORD-01623,EV-07,MAIN-1,2025-07-07 19:10:58
SCN-7-00065,ORD-00090-T1,ORD-00090,EV-07,SIDE-A,2025-07-07 19:11:36
SCN-7-00066,ORD-01088-T3,ORD-01088,EV-07,MAIN-2,2025-07-07 19:11:44
SCN-7-00067,ORD-00108-T1,ORD-00108,EV-07,MAIN-2,2025-07-07 19:11:47
SCN-7-00068,ORD-02273-T1,ORD-02273,EV-07,MAIN-2,2025-07-07 19:11:55
SCN-7-00069,ORD-03326-T5,ORD-03326,EV-07,MAIN-1,2025-07-07 19:12:03
SCN-7-00070,ORD-00689-T1,ORD-00689,EV-07,MAIN-2,2025-07-07 19:12:07
SCN-7-00071,ORD-00668-T4,ORD-00668,EV-07,MAIN-1,2025-07-07 19:12:13
SCN-7-00072,ORD-01050-T1,ORD-01050,EV-07,MAIN-2,2025-07-07 19:12:38
SCN-7-00073,ORD-03402-T1,ORD-03402,EV-07,MAIN-1,2025-07-07 19:12:52
SCN-7-00074,ORD-01676-T2,ORD-01676,EV-07,MAIN-2,2025-07-07 19:13:31
SCN-7-00075,ORD-00407-T2,ORD-00407,EV-07,MAIN-1,2025-07-07 19:13:42
SCN-7-00076,ORD-01959-T2,ORD-01959,EV-07,MAIN-1,2025-07-07 19:13:54
SCN-7-00077,ORD-00286-T2,ORD-00286,EV-07,MAIN-2,2025-07-07 19:14:06
SCN-7-00078,ORD-02941-T2,ORD-02941,EV-07,MAIN-1,2025-07-07 19:14:09
SCN-7-00079,ORD-00422-T1,ORD-00422,EV-07,MAIN-2,2025-07-07 19:14:13
SCN-7-00080,ORD-00708-T3,ORD-00708,EV-07,MAIN-1,2025-07-07 19:14:13
SCN-7-00081,ORD-03541-T2,ORD-03541,EV-07,MAIN-2,2025-07-07 19:14:17
SCN-7-00082,ORD-01248-T3,ORD-01248,EV-07,MAIN-2,2025-07-07 19:14:26
SCN-7-00083,ORD-01309-T1,ORD-01309,EV-07,MAIN-1,2025-07-07 19:14:31
SCN-7-00084,ORD-00141-T1,ORD-00141,EV-07,MAIN-2,2025-07-07 19:14:40
SCN-7-00085,ORD-00102-T2,ORD-00102,EV-07,MAIN-2,2025-07-07 19:15:26
SCN-7-00086,ORD-02396-T1,ORD-02396,EV-07,MAIN-1,2025-07-07 19:15:28
SCN-7-00087,ORD-03137-T2,ORD-03137,EV-07,MAIN-2,2025-07-07 19:15:44
SCN-7-00088,ORD-03344-T1,ORD-03344,EV-07,MAIN-2,2025-07-07 19:15:48
SCN-7-00089,ORD-01017-T1,ORD-01017,EV-07,MAIN-1,2025-07-07 19:16:01
SCN-7-00090,ORD-00420-T6,ORD-00420,EV-07,MAIN-1,2025-07-07 19:16:10
