scan_id,ticket_id,order_id,event_id,gate,scanned_at
SCN-3-00001,ORD-00039-T2,ORD-00039,EV-03,MAIN-2,2025-07-03 19:00:00
SCN-3-00002,ORD-00100-T2,ORD-00100,EV-03,MAIN-1,2025-07-03 19:00:00
SCN-3-00003,ORD-00540-T1,ORD-00540,EV-03,MAIN-2,2025-07-03 19:00:00
SCN-3-00004,ORD-01086-T2,ORD-01086,EV-03,MAIN-1,2025-07-03 19:00:00
SCN-3-00005,ORD-01249-T1,ORD-01249,EV-03,MAIN-2,2025-07-03 19:00:00
SCN-3-00006,ORD-01649-T4,ORD-01649,EV-03,MAIN-2,2025-07-03 19:00:00
SCN-3-00007,ORD-01718-T2,ORD-01718,EV-03,MAIN-1,2025-07-03 19:00:00
SCN-3-00008,ORD-01737-T2,ORD-01737,EV-03,MAIN-2,2025-07-03 19:00:00
SCN-3-00009,ORD-01932-T1,ORD-01932,EV-03,MAIN-2,2025-07-03 19:00:00
SCN-3-00010,ORD-02391-T1,ORD-02391,EV-03,MAIN-1,2025-07-03 19:00:00
SCN-3-00011,ORD-02943-T1,ORD-02943,EV-03,MAIN-1,2025-07-03 19:00:00
SCN-3-00012,ORD-02976-T2,ORD-02976,EV-03,MAIN-2,2025-07-03 19:00:00
SCN-3-00013,ORD-01126-T3,ORD-01126,EV-03,MAIN-2,2025-07-03 19:00:05
SCN-3-00014,ORD-02927-T2,ORD-02927,EV-03,MAIN-1,2025-07-03 19:00:58
SCN-3-00015,ORD-00796-T1,ORD-00796,EV-03,MAIN-1,2025-07-03 19:04:24
SCN-3-00016,ORD-01258-T2,ORD-01258,EV-03,MAIN-1,2025-07-03 19:04:32
SCN-3-00017,ORD-00796-T3,ORD-00796,EV-03,MAIN-1,2025-07-03 19:04:43
SCN-3-00018,ORD-01049-T3,ORD-01049,EV-03,MAIN-2,2025-07-03 19:04:48
SCN-3-00019,ORD-02815-T1,ORD-02815,EV-03,MAIN-2,2025-07-03 19:06:13
SCN-3-00020,ORD-01449-T1,ORD-01449,EV-03,MAIN-1,2025-07-03 19:06:40
SCN-3-00021,ORD-02742-T3,ORD-02742,EV-03,MAIN-2,2025-07-03 19:06:48
SCN-3-00022,ORD-01972-T2,ORD-01972,EV-03,MAIN-1,2025-07-03 19:07:16
SCN-3-00023,ORD-02827-T1,ORD-02827,EV-03,MAIN-1,2025-07-03 19:07:47
SCN-3-00024,ORD-02797-T1,ORD-02797,EV-03,MAIN-2,2025-07-03 19:08:26
SCN-3-00025,ORD-00705-T1,ORD-00705,EV-03,MAIN-2,2025-07-03 19:08:48
SCN-3-00026,ORD-01597-T2,ORD-01597,EV-03,MAIN-1,2025-07-03 19:09:24
SCN-3-00027,ORD-02140-T1,ORD-02140,EV-03,MAIN-1,2025-07-03 19:09:28
SCN-3-00028,ORD-02698-T1,ORD-02698,EV-03,MAIN-1,2025-07-03 19:09:41
SCN-3-00029,ORD-02881-T2,ORD-02881,EV-03,MAIN-2,2025-07-03 19:09:51
SCN-3-00030,ORD-02806-T2,ORD-02806,EV-03,MAIN-1,2025-07-03 19:10:23
SCN-3-00031,ORD-01711-T2,ORD-01711,EV-03,MAIN-2,2025-07-03 19:10:26
SCN-3-00032,ORD-00148-T1,ORD-00148,EV-03,SIDE-A,2025-07-03 19:10:27
SCN-3-00033,ORD-00009-T2,ORD-00009,EV-03,MAIN-1,2025-07-03 19:10:28
SCN-3-00034,ORD-00148-T4,ORD-00148,EV-03,SIDE-A,2025-07-03 19:10:43
SCN-3-00035,ORD-02881-T1,ORD-02881,EV-03,MAIN-2,2025-07-03 19:10:46
SCN-3-00036,ORD-00424-T3,ORD-00424,EV-03,MAIN-1,2025-07-03 19:11:00
SCN-3-00037,ORD-01595-T1,ORD-01595,EV-03,MAIN-1,2025-07-03 19:11:25
SCN-3-00038,ORD-02797-T3,ORD-02797,EV-03,SIDE-A,2025-07-03 19:11:36
SCN-3-00039,ORD-00144-T2,ORD-00144,EV-03,MAIN-1,2025-07-03 19:11:55
SCN-3-00040,ORD-01556-T1,ORD-01556,EV-03,MAIN-2,2025-07-03 19:12:13
SCN-3-00041,ORD-01358-T3,ORD-01358,EV-03,MAIN-2,2025-07-03 19:12:46
SCN-3-00042,ORD-02349-T1,ORD-02349,EV-03,MAIN-2,2025-07-03 19:13:53
SCN-3-00043,ORD-02967-T4,ORD-02967,EV-03,MAIN-1,2025-07-03 19:14:08
SCN-3-00044,ORD-01983-T1,ORD-01983,EV-03,MAIN-1,2025-07-03 19:14:10
SCN-3-00045,ORD-01482-T1,ORD-01482,EV-03,MAIN-1,2025-07-03 19:15:12
SCN-3-00046,ORD-02882-T1,ORD-02882,EV-03,SIDE-A,2025-07-03 19:15:14
SCN-3-00047,ORD-02238-T1,ORD-02238,EV-03,MAIN-1,2025-07-03 19:15:47
SCN-3-00048,ORD-01110-T1,ORD-01110,EV-03,MAIN-2,2025-07-03 19:15:53
SCN-3-00049,ORD-00824-T1,ORD-00824,EV-03,SIDE-A,2025-07-03 19:15:58
SCN-3-00050,ORD-00291-T1,ORD-00291,EV-03,MAIN-2,2025-07-03 19:16:01
SCN-3-00051,ORD-00100-T6,ORD-00100,EV-03,MAIN-1,2025-07-03 19:16:09
SCN-3-00052,ORD-02384-T2,ORD-02384,EV-03,MAIN-1,2025-07-03 19:16:20
SCN-3-00053,ORD-00999-T1,ORD-00999,EV-03,MAIN-1,2025-07-03 19:16:32
SCN-3-00054,ORD-01009-T1,ORD-01009,EV-03,MAIN-1,2025-07-03 19:17:14
